2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Subscription Services, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Book of the Year Awards, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Open Access, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Author Guidelines - Reflections, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Nurse Faculty Scholars / AJN Mentored Writing Award, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:10.2021 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:13.0972 | INFO | LLW_Framework.JournalTest | Checking if element exists Current Issue, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:13.0972 | INFO | LLW_Framework.JournalTest | Checking if element exists Articles & Issues, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:13.0972 | INFO | LLW_Framework.JournalTest | Checking if element exists Previous Issues, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:13.0972 | INFO | LLW_Framework.JournalTest | Checking if element exists Articles & Issues, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:13.0972 | INFO | LLW_Framework.JournalTest | Checking if element exists Published Ahead-of-Print, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:13.0972 | INFO | LLW_Framework.JournalTest | Checking if element exists Articles & Issues, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:13.0972 | INFO | LLW_Framework.JournalTest | Checking if element exists Information for Authors, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:13.0972 | INFO | LLW_Framework.JournalTest | Checking if element exists For Authors, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:13.0972 | INFO | LLW_Framework.JournalTest | Checking if element exists Language Editing Services, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:13.0972 | INFO | LLW_Framework.JournalTest | Checking if element exists For Authors, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:13.0972 | INFO | LLW_Framework.JournalTest | Checking if element exists About the Journal, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:13.0972 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:13.0972 | INFO | LLW_Framework.JournalTest | Checking if element exists Editorial Board, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:13.0972 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:13.0972 | INFO | LLW_Framework.JournalTest | Checking if element exists Advertising, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:13.0972 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:13.0972 | INFO | LLW_Framework.JournalTest | Checking if element exists Open Access, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:13.0972 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:13.0972 | INFO | LLW_Framework.JournalTest | Checking if element exists Subscription Services, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:13.0972 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:13.0972 | INFO | LLW_Framework.JournalTest | Checking if element exists Reprints, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:13.0972 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:13.0972 | INFO | LLW_Framework.JournalTest | Checking if element exists Rights and Permissions, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:13.0972 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists Current Issue, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists Articles & Issues, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists Previous Issues, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists Articles & Issues, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists Published Ahead-of-Print, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists Articles & Issues, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists Information for Authors, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists For Authors, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists Language Editing Services, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists For Authors, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists Open Access, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists For Authors, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists About the Journal, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists About the Society, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists Editorial Board, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists Affiliated Societies, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists Advertising, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists Subscription Services, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists Reprints, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists Rights and Permissions, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
